District Name,Market Name,Commodity,Variety,Grade,Price Date,temp,precip,Min Price (Rs./Quintal),Max Price (Rs./Quintal)
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,31-12-2020,27.5,0,1150,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,30-12-2020,27,0,1150,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,29-12-2020,26.8,0,1150,1250
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,28-12-2020,27.1,0.5,1150,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,27-12-2020,27,0,,
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,26-12-2020,27,1,1100,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,25-12-2020,26.5,1.2,1100,1250
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,24-12-2020,26.4,0.2,1150,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,23-12-2020,26.1,3,1150,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,22-12-2020,26.5,2.9,1100,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,21-12-2020,26.8,1.4,1200,1350
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,20-12-2020,26.6,1.1,,
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,19-12-2020,26.1,1.1,1100,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,18-12-2020,25.9,1.9,1150,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,17-12-2020,26,6,1150,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,16-12-2020,26.6,5.6,1100,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,15-12-2020,26.4,5.1,1050,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,14-12-2020,26.8,5.2,1100,1250
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,13-12-2020,26.9,4.7,,
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,12-12-2020,27,4.3,1120,1360
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,11-12-2020,27,2.5,,
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,10-12-2020,26.6,1.2,1150,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,09-12-2020,26.3,1.9,1100,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,08-12-2020,26.1,10,1100,1350
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,07-12-2020,26.9,3.3,1100,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,06-12-2020,27.1,0.7,,
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,05-12-2020,27.2,0,1100,1350
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,04-12-2020,27.2,0.1,1100,1300
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,03-12-2020,27.1,0.3,,
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,02-12-2020,26.5,1.4,1200,1450
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,01-12-2020,26.1,4.6,120,1460
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,30-11-2020,26.6,1.7,1200,1450
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,29-11-2020,26.3,0.9,,
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,28-11-2020,26,1.4,1200,1400
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,27-11-2020,25,2,1250,1400
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,26-11-2020,25.5,45,1250,1450
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,25-11-2020,26.4,7,1250,1450
Gorakhpur,Chorichora,Banana - Green,Banana - Green,FAQ,24-11-2020,27.1,4.4,1200,1400
